iter	Passed	Remaining
774	1932	561
775	1934	558
776	1938	556
777	1944	554
778	1946	552
779	1948	549
780	1954	548
781	1956	545
782	1957	542
783	1964	541
784	1966	538
785	1969	536
786	1972	533
787	1975	531
788	1977	528
789	1978	526
790	1984	524
791	1986	521
792	1992	520
793	1993	517
794	1995	514
795	2000	512
796	2002	510
797	2005	507
798	2007	505
799	2014	503
800	2017	501
801	2023	499
802	2026	497
803	2029	494
804	2031	492
805	2034	489
806	2035	486
807	2037	484
808	2043	482
809	2045	479
810	2046	476
811	2050	474
812	2052	472
813	2054	469
814	2056	466
815	2059	464
816	2061	461
817	2063	459
818	2065	456
819	2067	453
820	2072	451
821	2074	449
822	2075	446
823	2079	444
824	2081	441
825	2083	438
826	2084	436
827	2087	433
828	2089	431
829	2091	428
830	2093	425
831	2095	423
832	2096	420
833	2101	418
834	2103	415
835	2105	413
836	2106	410
837	2111	408
838	2113	405
839	2114	402
840	2117	400
841	2120	397
842	2121	395
843	2123	392
844	2125	389
845	2127	387
846	2130	384
847	2135	382
848	2136	380
849	2139	377
850	2142	375
851	2143	372
852	2144	369
853	2147	367
854	2150	364
855	2151	361
856	2153	359
857	2155	356
858	2156	354
859	2160	351
860	2164	349
861	2166	346
862	2168	344
863	2170	341
864	2172	339
865	2173	336
866	2176	333
867	2178	331
868	2179	328
869	2181	325
870	2183	323
871	2184	320
872	2185	318
873	2189	315
874	2192	313
875	2194	310
876	2195	307
877	2199	305
878	2203	303
879	2205	300
880	2207	298
881	2209	295
882	2210	292
883	2213	290
884	2216	288
885	2218	285
886	2219	282
887	2224	280
888	2226	277
889	2228	275
890	2232	273
891	2235	270
892	2238	268
893	2239	265
894	2241	262
895	2246	260
896	2248	258
897	2249	255
898	2253	253
899	2255	250
900	2257	248
901	2258	245
902	2260	242
903	2263	240
904	2265	237
905	2266	235
906	2268	232
907	2269	229
908	2272	227
909	2276	225
910	2278	222
911	2279	219
912	2281	217
913	2284	214
914	2287	212
915	2289	209
916	2291	207
917	2293	204
918	2295	202
919	2297	199
920	2299	197
921	2300	194
922	2306	192
923	2308	189
924	2309	187
925	2310	184
926	2314	182
927	2317	179
928	2318	177
929	2321	174
930	2324	172
931	2327	169
932	2330	167
